AAVSO  (https://www.aavso.org/LCG)                                                                  
HJD                 BJD                  E        (O-C)(days)  Err         
2457243.9898981     2457243.990691       81189    0.00268      3.00797E-4  
2457650.767396      2457650.768177       84101    0.00307      4.72027E-5  
2456222.5771114     2456222.577896       73877    0.00273      8.7971E-4   
2458658.7702444     2458658.771008       91317    0.00329      2.74207E-4  
2458659.7487391     2458659.749502       91324    0.00395      3.62791E-4  
2458661.7044847     2458661.705248       91338    0.00404      3.34724E-4  
2458662.821438      2458662.822201       91346    0.00347      9.21184E-5  
2458735.5999654     2458735.600728       91867    0.00354      4.37649E-4  
2457235.7482316     2457235.749025       81130    0.00272      3.18054E-4  
2457235.8875689     2457235.888362       81131    0.00237      6.46512E-4  
2457236.8661834     2457236.866977       81138    0.00316      8.92699E-4  
2457248.7396867     2457248.74048        81223    0.00302      1.15295E-4  
2457248.8796934     2457248.880487       81224    0.00333      1.75491E-4  
2456156.5031963     2456156.50398        73404    0.00216      5.24495E-4  
2456144.7691105     2456144.769894       73320    0.00203      9.89721E-4  
2456146.5854488     2456146.586232       73333    0.00239      2.47761E-4  
2456147.5634158     2456147.564199       73340    0.00253      3.76531E-4  
2456148.5417937     2456148.542577       73347    0.00308      4.32257E-4  
2456151.6145457     2456151.615329       73369    0.00265      2.991E-4    
2456152.5918457     2456152.59263        73376    0.00212      3.94354E-4  
2456153.5700451     2456153.570829       73383    0.00249      4.77487E-4  
2456154.5481421     2456154.548926       73390    0.00276      2.7084E-4   
2456155.5260292     2456155.526813       73397    0.00282      4.14135E-4  
2456160.5546489     2456160.555433       73433    0.0026       6.02536E-4  
2455383.7378475     2455383.738598       67872    0.00152      5.70372E-4  
2455388.9065105     2455388.907261       67909    0.00166      6.5407E-4   
2455390.8624761     2455390.863227       67923    0.00196      6.00668E-4  
2455394.7736987     2455394.77445        67951    0.00187      2.08212E-4  
2455395.8915483     2455395.892299       67959    0.0022       5.37311E-4  
2455403.8523909     2455403.853142       68016    7.1496E-4    8.07139E-4  
2457231.8376782     2457231.838472       81102    0.00349      1.61181E-4  
2457232.8152261     2457232.81602        81109    0.00321      1.90463E-4  
2457232.9547164     2457232.95551        81110    0.00301      1.1634E-4   
2457233.7930017     2457233.793795       81116    0.00315      3.40949E-4  
2457233.9327404     2457233.933534       81117    0.0032       2.64682E-4  
2457234.7708032     2457234.771597       81123    0.00313      3.72143E-4  
2457234.9101656     2457234.910959       81124    0.0028       3.83246E-4  
2457235.7481342     2457235.748928       81130    0.00263      1.6843E-4   
2457235.8878362     2457235.88863        81131    0.00264      2.71566E-4  
2457238.8214307     2457238.822224       81152    0.00275      3.05059E-4  
2457238.9614437     2457238.962237       81153    0.00307      2.893E-4    
2457239.7996398     2457239.800433       81159    0.00312      4.5094E-4   
2457239.9391356     2457239.939929       81160    0.00293      2.50401E-4  
2457240.7772471     2457240.77804        81166    0.0029       2.25461E-4  
2457240.9171225     2457240.917916       81167    0.00309      1.96308E-4  
2457241.7552662     2457241.75606        81173    0.00309      2.94868E-4  
2457241.8946016     2457241.895395       81174    0.00274      1.31851E-4  
2457242.7328943     2457242.733688       81180    0.00289      1.77188E-4  
2457242.8725989     2457242.873392       81181    0.0029       5.38257E-5  
2457247.7619197     2457247.762713       81216    0.00308      2.04766E-4  
2457247.9019251     2457247.902718       81217    0.00339      1.29105E-4  
2457250.6951904     2457250.695984       81237    0.00286      1.55545E-4  
2457250.8348098     2457250.835603       81238    0.00279      1.48996E-4  
2457251.8128079     2457251.813601       81245    0.00296      1.18408E-4  
2456110.6852922     2456110.686075       73076    0.00255      7.52489E-4  
2456114.73572       2456114.736503       73105    0.00197      8.37559E-4  
2456115.7139316     2456115.714714       73112    0.00235      6.7483E-4   
2457250.9745538     2457250.975347       81239    0.00284      6.38445E-5  
2457251.9530734     2457251.953867       81246    0.00353      9.95672E-5  
2457252.091807      2457252.0926         81247    0.00258      8.97897E-5  
2457252.9306091     2457252.931402       81253    0.00324      7.30454E-5  
2457253.0703841     2457253.071177       81254    0.00332      2.18234E-4  
2457253.9082332     2457253.909026       81260    0.00303      1.3461E-4   
2457254.0476252     2457254.048418       81261    0.00274      8.04768E-5  
2457251.6732363     2457251.67403        81244    0.00308      3.00478E-4  
2457237.2854258     2457237.286219       81141    0.00333      1.80473E-4  
2457237.4245892     2457237.425383       81142    0.0028       2.00712E-4  
2457247.342689      2457247.343482       81213    0.00292      2.53434E-4  
2457245.8061137     2457245.806907       81202    0.00293      1.74648E-4  
2457246.7839736     2457246.784767       81209    0.00296      3.11617E-4  
2457251.673416      2457251.674209       81244    0.00326      2.00475E-4  
2457253.7684074     2457253.769201       81259    0.0029       1.69077E-4  
2457253.9082091     2457253.909002       81260    0.00301      2.57362E-4  
2457254.7461667     2457254.74696        81266    0.00283      4.38009E-4  
2457254.8857004     2457254.886494       81267    0.00267      6.34656E-4  
2451708.4943952     2451708.495145       41562    3.9072E-4    2.11764E-4  
2451712.5454638     2451712.546214       41591    4.5146E-4    1.94575E-4  
2451714.5013629     2451714.502113       41605    6.913E-4     2.21493E-4  
2451715.4782636     2451715.479014       41612    -2.3728E-4   1.73093E-4  
2451724.5581994     2451724.55895        41677    -1.4738E-4   1.19823E-4  
2457239.5198491     2457239.520642       81157    0.00271      7.43178E-5  
2457240.4975649     2457240.498358       81164    0.0026       6.15519E-5  


\uFEFFO-C gateway  (http://var2.astro.cz/ocgat)
HJD             BJD                 E         O-C(days)        Err
2445902.8406    2445902.841188      1         3.00598E-5       5E-4           
2445906.7518    2445906.752388      29        -8.826E-5        5E-4
2445928.8217    2445928.822288      187       -0.0012          5E-4
2445944.7482    2445944.748788      301       6.4806E-4        5E-4
2445944.8875    2445944.888088      302       2.5812E-4        5E-4
2445945.7270    2445945.727588      308       0.00162          5E-4
2445945.8649    2445945.865488      309       -1.7146E-4       5E-4
2445971.7071    2445971.707688      494       -6.1036E-4       5E-4
2446295.7882    2446295.788799      2814      -1.6016E-4       5E-4
2446324.7042    2446324.704799      3021      2.226E-5         5E-4
2446344.6793    2446344.679899      3164      -5.3916E-4       5E-4
2454272.5044    2454272.505136      59917     0.00153          5E-4
2454306.4486    2454306.449335      60160     0.00108          5E-4
2454313.4326    2454313.433335      60210     5.796E-4         5E-4
2454651.4833    2454651.484031      62630     0.00162          5E-4
2454670.4810    2454670.481731      62766     0.00149          5E-4
2454810.3110    2454810.31173       63767     0.00186          5E-4
2455004.4795    2455004.480244      65157     0.00136          5E-4
2455006.4348    2455006.435544      65171     9.9626E-4        5E-4
2455038.4235    2455038.424244      65400     7E-4             5E-4
2455052.3929    2455052.393644      65500     0.00111          5E-4
